Provider Number,Facility Name,Five Star,City,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Offers in-center hemodialysis,Offers peritoneal dialysis,Offers home hemodialysis training,Number of Dialysis Patients with Hgb data,Patient Transfusion category text,Number of patients included in the transfusion summary,Number of patients in hypercalcemia summary,Number of patients in Serum phosphorus summary,Patient hospitalization category text,Patient Hospital Readmission Category,Patient Survival Category Text,Number of patients included in hospitalization summary,Number of hospitalizations included in hospital readmission summary,Number of Patients included in survival summary,Patient Infection category text,Fistula Category Text,Number of Patients included in fistula summary,Number of patients in long term catheter summary,Number of patients in nPCR summary,SWR category text,Number of patients in this facility for SWR,Standardized First Kidney Transplant Waitlist Ratio,PPPW category text,Number of patients for PPPW
12533,DAVITA WALKER COUNTY DIALYSIS,4,JASPER,Profit,DAVITA,13,1,1,1,21,Worse than Expected,35,49,52,Worse than Expected,As Expected,As Expected,38,76,157,Worse than Expected,As Expected,47,47,0,Not Available,24,0,As Expected,46
12534,BESSEMER KIDNEY CENTER,3,BESSEMER,Profit,FRESENIUS MEDICAL CARE,36,1,0,0,21,Worse than Expected,48,74,81,As Expected,As Expected,As Expected,52,52,229,As Expected,Worse than Expected,80,80,0,As Expected,38,0.61,As Expected,64
12525,FMC WEST MOBILE,5,MOBILE,Profit,FRESENIUS MEDICAL CARE,20,1,0,0,38,As Expected,63,88,90,As Expected,As Expected,Better than Expected,71,93,306,Better than Expected,As Expected,90,90,0,As Expected,15,0,As Expected,63
12526,RCG PRINCETON,3,BIRMINGHAM,Profit,FRESENIUS MEDICAL CARE,34,1,1,1,42,Worse than Expected,70,111,111,As Expected,As Expected,As Expected,77,111,380,Better than Expected,Worse than Expected,111,111,0,As Expected,38,0.9,As Expected,86
12527,DCI ENTERPRISE,5,ENTERPRISE,Non-Profit,"DIALYSIS CLINIC, INC.",26,1,1,1,36,As Expected,43,61,64,As Expected,As Expected,As Expected,46,43,216,As Expected,As Expected,63,63,1,Not Available,24,0,As Expected,47
12501,DAVITA GADSDEN DIALYSIS,4,GADSDEN,Profit,DAVITA,24,1,0,0,25,As Expected,30,47,49,Worse than Expected,Worse than Expected,As Expected,37,62,176,As Expected,As Expected,49,49,0,As Expected,34,0,As Expected,43
12502,DAVITA TUSCALOOSA UNIVERSITY DIALYSIS,3,TUSCALOOSA,Profit,DAVITA,23,1,1,0,65,As Expected,92,131,140,As Expected,As Expected,As Expected,104,136,440,As Expected,As Expected,127,127,0,As Expected,57,0.96,As Expected,112
12505,DAVITA PDI-MONTGOMERY,3,MONTGOMERY,Profit,DAVITA,18,1,1,1,50,As Expected,68,107,107,As Expected,As Expected,As Expected,76,89,323,As Expected,As Expected,82,82,0,As Expected,31,0.73,As Expected,91
12506,DAVITA DOTHAN DIALYSIS,3,DOTHAN,Profit,DAVITA,27,1,1,1,34,As Expected,60,75,79,Worse than Expected,As Expected,Worse than Expected,63,81,283,As Expected,As Expected,82,82,0,Not Available,22,0,As Expected,78
12507,FMC MOBILE,5,MOBILE,Profit,FRESENIUS MEDICAL CARE,24,1,0,0,49,As Expected,77,123,125,As Expected,As Expected,As Expected,88,80,374,As Expected,As Expected,126,126,0,As Expected,33,0,As Expected,110
12528,FMC CAHABA VALLEY,3,PELHAM,Profit,FRESENIUS MEDICAL CARE,24,1,0,0,25,As Expected,43,68,72,As Expected,As Expected,As Expected,53,46,207,As Expected,As Expected,72,72,0,As Expected,22,1.41,As Expected,53
12529,DAVITA FLORENCE DIALYSIS,5,FLORENCE,Profit,DAVITA,18,1,1,0,75,As Expected,105,130,139,As Expected,As Expected,As Expected,112,136,489,As Expected,As Expected,99,99,0,As Expected,70,0.72,As Expected,116
12530,RAI EAST 11TH ST ANNISTON,3,ANNISTON,Profit,INDEPENDENT,21,1,0,0,44,As Expected,61,84,90,As Expected,As Expected,Worse than Expected,71,84,309,Better than Expected,As Expected,89,89,1,As Expected,48,0.47,As Expected,82
12306,CHILDRENS HOSPITAL DIALYSIS,,BIRMINGHAM,Non-Profit,INDEPENDENT,7,1,1,1,7,Not Available,2,1,3,As Expected,Not Available,Not Available,12,9,65,Not Available,Not Available,2,2,14,As Expected,22,1.75,As Expected,27
12500,FMC CAPITOL CITY,3,MONTGOMERY,Profit,FRESENIUS MEDICAL CARE,34,1,1,1,58,As Expected,84,128,137,As Expected,As Expected,As Expected,102,91,404,Better than Expected,Worse than Expected,138,138,0,Worse than Expected,56,0.17,As Expected,116
12516,DSI SOUTH DIALYSIS,3,BIRMINGHAM,Profit,DIVERSIFIED SPECIALTY INSTITUTES (DSI),20,1,1,1,20,As Expected,42,60,63,As Expected,As Expected,As Expected,46,51,203,As Expected,As Expected,54,54,0,Not Available,15,0,As Expected,49
12517,DAVITA ATHENS DIALYSIS,3,ATHENS,Profit,DAVITA,12,1,1,1,47,Worse than Expected,68,95,99,As Expected,As Expected,Worse than Expected,78,90,346,As Expected,As Expected,99,99,0,As Expected,50,0.96,As Expected,81
12519,FMC SCOTTSBORO,5,SCOTTSBORO,Profit,FRESENIUS MEDICAL CARE,21,1,0,0,42,As Expected,58,87,90,As Expected,As Expected,As Expected,68,65,269,As Expected,As Expected,89,89,1,As Expected,47,1.19,As Expected,73
12520,FRESENIUS KIDNEY CARE TROY,4,TROY,Profit,FRESENIUS MEDICAL CARE,21,1,0,0,27,As Expected,51,72,76,As Expected,As Expected,As Expected,57,48,203,As Expected,As Expected,76,76,0,As Expected,29,0.34,As Expected,61
12521,DCI DOTHAN,4,DOTHAN,Non-Profit,"DIALYSIS CLINIC, INC.",33,1,1,0,80,As Expected,113,153,167,As Expected,As Expected,As Expected,133,163,517,As Expected,As Expected,126,126,0,As Expected,60,1.02,As Expected,134
12522,FMC HUNTSVILLE,4,HUNTSVILLE,Profit,FRESENIUS MEDICAL CARE,31,1,0,0,30,As Expected,50,67,72,As Expected,As Expected,As Expected,57,51,252,As Expected,As Expected,71,71,0,As Expected,27,1.21,As Expected,70
12523,DAVITA PHENIX CITY DIALYSIS CENTER,5,PHENIX CITY,Profit,DAVITA,20,1,1,0,44,As Expected,60,91,95,As Expected,As Expected,Worse than Expected,73,71,336,As Expected,As Expected,87,87,0,As Expected,28,0.39,As Expected,83
12524,FMC EAST MOBILE,3,MOBILE,Profit,FRESENIUS MEDICAL CARE,29,1,1,1,63,As Expected,127,199,212,As Expected,As Expected,As Expected,143,151,558,As Expected,As Expected,133,133,0,As Expected,95,1.27,As Expected,211
12531,FMC JACKSON (TOMBIGBEE),4,JACKSON,Profit,FRESENIUS MEDICAL CARE,25,1,1,1,50,As Expected,79,110,115,As Expected,As Expected,As Expected,87,72,333,As Expected,As Expected,99,99,0,As Expected,40,1.4,As Expected,98
12532,DCI EUFAULA,5,EUFAULA,Non-Profit,"DIALYSIS CLINIC, INC.",14,1,0,0,32,As Expected,39,56,60,As Expected,As Expected,As Expected,48,31,185,As Expected,As Expected,60,60,0,Not Available,22,0,As Expected,35
12579,FMC DAUPHIN ISLAND PKWY,4,MOBILE,Profit,FRESENIUS MEDICAL CARE,20,1,0,0,36,As Expected,59,91,93,As Expected,Worse than Expected,As Expected,67,84,282,As Expected,As Expected,93,93,0,As Expected,37,0.44,As Expected,83
12580,FMC THOMASVILLE,3,THOMASVILLE,Profit,FRESENIUS MEDICAL CARE,20,1,1,1,35,As Expected,43,53,56,As Expected,As Expected,As Expected,47,37,191,As Expected,As Expected,55,55,0,As Expected,30,0.92,As Expected,58
12582,FMC WILCOX,4,CAMDEN,Profit,FRESENIUS MEDICAL CARE,10,1,0,0,29,As Expected,37,54,54,As Expected,As Expected,As Expected,43,35,162,As Expected,As Expected,54,54,0,As Expected,23,0,As Expected,40
12583,DAVITA BESSEMER DIALYSIS,3,BESSEMER,Profit,DAVITA,16,1,0,0,24,As Expected,35,57,60,As Expected,As Expected,As Expected,40,25,178,As Expected,As Expected,63,63,0,As Expected,27,0.67,As Expected,50
12585,DAVITA ENSLEY DIALYSIS,4,BIRMINGHAM,Profit,DAVITA,24,1,0,0,49,As Expected,72,100,107,As Expected,As Expected,As Expected,81,59,323,As Expected,Worse than Expected,107,107,0,As Expected,44,0.21,As Expected,90
12588,DAVITA SYLACAUGA DIALYSIS,3,SYLACAUGA,Profit,DAVITA,18,1,1,1,32,As Expected,38,51,53,As Expected,As Expected,Worse than Expected,41,51,207,As Expected,As Expected,45,45,0,Not Available,22,0,As Expected,41
12594,DAVITA BOAZ DIALYSIS,5,BOAZ,Profit,DAVITA,12,1,0,0,34,As Expected,51,59,61,As Expected,As Expected,As Expected,56,85,203,As Expected,As Expected,61,61,0,Not Available,18,0,As Expected,48
12595,RCG FORT PAYNE,5,FORT PAYNE,Profit,FRESENIUS MEDICAL CARE,24,1,1,1,20,As Expected,52,67,74,As Expected,As Expected,As Expected,60,59,235,Better than Expected,As Expected,68,68,0,As Expected,33,0,As Expected,58
12596,FKC MONTGOMERY,3,MONTGOMERY,Profit,FRESENIUS MEDICAL CARE,33,1,0,0,63,As Expected,99,133,142,As Expected,Better than Expected,As Expected,110,142,443,Better than Expected,As Expected,141,141,0,As Expected,50,0.38,As Expected,125
12566,FMC SYLACAUGA,3,SYLACAUGA,Profit,FRESENIUS MEDICAL CARE,12,1,0,0,20,As Expected,32,42,47,As Expected,As Expected,As Expected,40,38,166,As Expected,As Expected,45,45,0,Not Available,19,0,As Expected,39
12568,FMC PARKWAY,3,HUNTSVILLE,Profit,FRESENIUS MEDICAL CARE,15,1,0,0,32,As Expected,41,56,57,As Expected,As Expected,As Expected,48,56,215,As Expected,As Expected,57,57,0,Not Available,26,0,As Expected,46
