Facility_Name,CMS_Certification_Number,PY2020_Payment_Reduction_Percentage,Total_Performance_Score
CHILDRENS HOSPITAL DIALYSIS,12306,0.015,35
FMC CAPITOL CITY,12500,0.01,43
GADSDEN DIALYSIS,12501,0.01,42
TUSCALOOSA UNIVERSITY DIALYSIS,12502,0.005,54
PCD MONTGOMERY,12505,0,62
DOTHAN DIALYSIS,12506,0,79
FMC MOBILE,12507,0,62
BIRMINGHAM EAST DIALYSIS,12508,0.01,45
FMC NORTH ALABAMA,12509,0,77
FMC SELMA,12512,0.005,54
FMC LANGDALE,12513,0,75
FMC OPELIKA,12515,0,82
DSI SOUTH DIALYSIS,12516,0,62
DVA HEALTHCARE RENAL CARE INC,12517,0.005,53
FMC SCOTTSBORO,12519,0,64
FMC TROY,12520,0,63
DCI DOTHAN,12521,0,65
FMC HUNTSVILLE,12522,0.005,57
PHENIX CITY DIALYSIS,12523,0,64
FMC EAST MOBILE,12524,0.015,36
FMC WEST MOBILE,12525,0,69
RCG PRINCETON,12526,0.01,41
DCI ENTERPRISE,12527,0,68
FMC CAHABA VALLEY,12528,0,78
FLORENCE DIALYSIS,12529,0,62
RAI EAST 11TH ST ANNISTON,12530,0,64
FMC JACKSON (TOMBIGBEE),12531,0,69
DCI EUFAULA,12532,0,88
WALKER COUNTY DIALYSIS,12533,0.01,44
BESSEMER KIDNEY CENTER,12534,0,69
PCD PRATTVILLE,12535,0.005,52
FMC MONTCLAIR,12536,0,75
FMC PRICHARD,12537,0,61
RCG ANDALUSIA,12538,0.005,53
FMC MONROEVILLE (WHETSTONE),12540,0,67
FMC DADEVILLE,12541,0,84
RAINBOW CITY DIALYSIS,12542,0,69
DEMOPOLIS DIALYSIS,12543,0,67
OZARK DIALYSIS,12544,0,70
TUSCALOOSA DIALYSIS,12545,0.015,37
FMC TUSKEGEE,12546,0,73
FMC EASTERN SHORE,12547,0,72
FAYETTE DIALYSIS,12548,0,66
BIO-MEDICAL APPLICATIONS OF ALABAMA INC.,12549,0.005,50
GREENE COUNTY DIALYSIS,12550,0.005,58
SHEFFIELD DIALYSIS,12551,0,67
BIO-MEDICAL APPLICATIONS OF ALABAMA INC,12552,0,61
PCD ELMORE COUNTY,12553,0.005,57
"NNA OF ALABAMA, INC",12556,0,78
DCI DECATUR,12558,0,72
FMC UNIVERSITY SOUTH ALABAMA,12559,0.005,51
FMC LAKEVIEW,12561,0,61
DCI PELL CITY,12562,0,89
DCI CULLMAN,12563,0,82
SOUTH BALDWIN DIALYSIS CENTER,12565,0,72
